 ID,Name,Duration,Start,Finish,Predecessors,Resources,Custom 1,Custom 2,Custom 3,Custom 4,Custom 5,
1,5TA Frontend _Knoweldge_Transition,30days?,10/04/2023,11/14/2023,,"Whiz AI Team,JJT Team",,,,,,
2,Finalize the Transition approach and plan for 5 TA'S,3days,10/04/2023,10/06/2023,,"Whiz AI Team,JJT Team",Completed,,,,,
3,Project Overview & Daily Operations,15days,10/04/2023,10/24/2023,,Whiz AI Team,In Process,,,,,
4,Project Closing ,13days?,10/09/2023,10/25/2023,,,,,,,,
5,Pre-transition activities,1day,10/09/2023,10/09/2023,2,"Whiz AI Team,JJT Team",Completed,,,,,
6,Project Overview - Business Understanding,1day,10/10/2023,10/10/2023,5,Whiz AI Team,Completed,,,,,
7,Project Overview-Project Architecture,1day,10/11/2023,10/11/2023,6,Whiz AI Team,Completed,,,,,
8,Project Overview -User Base and Environment details,1day,10/12/2023,10/12/2023,7,Whiz AI Team,Not Started,,,,,
9,"Enhancements & Bug Flow - SLAs, Task Management, Known Frequent errors and resolution process •Problem management: Definition, Process & Coordination, Template",1day,10/13/2023,10/13/2023,8,Whiz AI Team,Not Started,,,,,
10,Data Extraction - SQL Queries,1day,10/25/2023,10/25/2023,26,Whiz AI Team,Not Started,,,,,
11,"Release Management - Frequency of releases, Approval process, roles and responsibilities of release manager",1day,10/13/2023,10/13/2023,9SS,Whiz AI Team,Not Started,,,,,
12,Repo Designing and Flow,1day,10/13/2023,10/13/2023,9SS,Whiz AI Team,Not Started,,,,,
13,Production Support Transition & Shadow – CVM,7days,10/16/2023,10/24/2023,,Whiz AI Team,Not Started,,,,,
14,Data Overview - Design & Data Model,1day,10/16/2023,10/16/2023,12,Whiz AI Team,Not Started,,,,,
15,ETL Architecture - Data Flow Process and Orchestration Framework,1day,10/16/2023,10/16/2023,14SS,Whiz AI Team,Not Started,,,,,
16,Data Extraction - SQL Queries,2days,10/17/2023,10/18/2023,15,Whiz AI Team,Not Started,,,,,
17,Data Pipeline Configuration - Model configurations,1day,10/19/2023,10/19/2023,16,Whiz AI Team,Not Started,,,,,
18,Data Pipeline Configuration - User Management Configuration,1day,10/20/2023,10/20/2023,17,Whiz AI Team,Not Started,,,,,
19,PinBoard Management - Creating and Sharing PinBoards,1day,10/20/2023,10/20/2023,18SS,Whiz AI Team,Not Started,,,,,
20,PinBoard Management - Best Practices,1day,10/23/2023,10/23/2023,19,Whiz AI Team,Not Started,,,,,
21,"Current Testing Process (SIT, UAT, Load, Stress etc.)",2days,10/23/2023,10/24/2023,20SS,Whiz AI Team,Not Started,,,,,
22,Artifacts handover,1day,10/23/2023,10/23/2023,20SS,Whiz AI Team,Not Started,,,,,
23,Production Support Transition & Shadow – NS,11days,10/24/2023,11/07/2023,,Whiz AI Team,Not Started,,,,,
24,Data Overview - Design & Data Model,1day,10/24/2023,10/24/2023,22,Whiz AI Team,Not Started,,,,,
25,Data Extraction - SQL Queries,1day,11/07/2023,11/07/2023,59,Whiz AI Team,Not Started,,,,,
26,ETL Architecture - Data Flow Process and Orchestration Framework,1day,10/24/2023,10/24/2023,24SS,Whiz AI Team,Not Started,,,,,
27,PinBoard Management - Best Practices,1day,11/02/2023,11/02/2023,46SS,Whiz AI Team,Not Started,,,,,
28,PinBoard Management - Creating and Sharing PinBoards,1day,10/25/2023,10/25/2023,10SS,Whiz AI Team,Not Started,,,,,
